Date_start,Power_kW,Year,Month,Day,Hour,temp_C,HR,solarRad_W/m2,Weekday,Is_Weekend,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH,HDH_squared,CDH_squared,CDH_Humidity,log_temp,temp_squared,holiday
2017-12-26 11:00:00,160.1860645,2017,12,26,11,9.3075,85.53333333333335,165.33333333333334,1,0,0.258819045102521,-0.9659258262890682,152.7024395,146.8357145,104.8107355,6.692500000000001,0.0,44.78955625000001,0.0,0.0,2.230820526764735,9.3075,True
2017-12-26 12:00:00,166.4788645,2017,12,26,12,10.159166666666666,82.375,193.71666666666667,1,0,1.2246467991473532e-16,-1.0,160.1860645,152.7024395,105.1384855,5.840833333333334,0.0,34.11533402777779,0.0,0.0,2.3183764177890547,10.159166666666666,True
2017-12-26 13:00:00,157.5347855,2017,12,26,13,10.265,83.89999999999999,229.79166666666663,1,0,-0.2588190451025208,-0.9659258262890683,166.4788645,160.1860645,107.1049855,5.734999999999999,0.0,32.890224999999994,0.0,0.0,2.328740050470897,10.265,True
2017-12-26 14:00:00,154.0789895,2017,12,26,14,11.839166666666666,78.86666666666666,347.1333333333334,1,0,-0.4999999999999997,-0.8660254037844388,157.5347855,166.4788645,104.2609895,4.1608333333333345,0.0,17.312534027777787,0.0,0.0,2.4714132440959853,11.839166666666666,True
2017-12-26 15:00:00,164.7053,2017,12,26,15,13.426666666666668,72.38166666666667,217.53333333333333,1,0,-0.7071067811865471,-0.7071067811865479,154.0789895,157.5347855,103.863975,2.5733333333333324,0.0,6.622044444444439,0.0,0.0,2.597242779182252,13.426666666666668,True
2017-12-26 16:00:00,155.429975,2017,12,26,16,12.902500000000002,75.55833333333334,81.38250000000001,1,0,-0.8660254037844385,-0.5000000000000004,164.7053,154.0789895,103.8458395,3.0974999999999984,0.0,9.59450624999999,0.0,0.0,2.5574210910407453,12.902500000000002,True
2017-12-26 17:00:00,151.35495,2017,12,26,17,12.505,77.88333333333334,6.001916666666666,1,0,-0.9659258262890683,-0.25881904510252063,155.429975,164.7053,108.736525,3.494999999999999,0.0,12.215024999999995,0.0,0.0,2.5261285643295825,12.505,True
2017-12-26 18:00:00,131.9886395,2017,12,26,18,12.439166666666669,78.76666666666667,2.44425,1,0,-1.0,-1.8369701987210297e-16,151.35495,155.429975,101.62435,3.5608333333333313,0.0,12.679534027777763,0.0,0.0,2.5208500968571483,12.439166666666669,True
2017-12-26 19:00:00,118.6164395,2017,12,26,19,12.135,80.51666666666667,2.494833333333333,1,0,-0.9659258262890684,0.2588190451025203,131.9886395,151.35495,101.2893895,3.865,0.0,14.938225000000001,0.0,0.0,2.4960938391785645,12.135,True
2017-12-26 20:00:00,106.7300395,2017,12,26,20,12.039166666666668,81.275,3.24025,1,0,-0.8660254037844386,0.5000000000000001,118.6164395,131.9886395,101.7189605,3.9608333333333317,0.0,15.688200694444431,0.0,0.0,2.4881652237532896,12.039166666666668,True
